GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
armstrong-number,br.com.ariki.testesys.armstrongnumber,Main,9,0,0,0,3,0,2,0,2,0
armstrong-number,br.com.ariki.testesys.armstrongnumber,ArmstrongNumber,0,61,0,6,0,9,0,4,0,1
