GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
extrai-conteudo-xml,br.com.ariki.testesys.armstrongnumber,Main,9,0,0,0,3,0,2,0,2,0
extrai-conteudo-xml,br.com.ariki.testesys.armstrongnumber,TextoXML,0,41,0,0,0,10,0,1,0,1
