GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
anagrama,br.com.ariki.testesys.armstrongnumber,Main,9,0,0,0,3,0,2,0,2,0
anagrama,br.com.ariki.testesys.armstrongnumber,Anagrama,0,108,1,11,0,15,1,7,0,2
